,x2,x3,x6,x7,x8,x10,x11,x12,x13,x14,x16,x17,x1_type2,x1_type3,x1_type4,target
2580,1709,550,2.0,2.0,40.0,1.0,101.0,0.8278205765325868,15.0,0.37148039249190434,117.6,856.0,False,False,False,0
2581,2843,200,1.824728693840946,5.4931321384434355,41.0,0.42305179706783136,-7.502974941684215,0.5356943961419676,57.0,2.822205855739821,132.6,22.0,False,True,False,0
2582,3545,200,2.0,3.0,119.0,1.0,2.0,0.778484093469444,457.0,2.8679843060284567,141.9,105.0,False,True,False,0
2583,1436,636,2.0,2.0,799.0,6.0,-4.2911255961539965,2.0598103494641338,332.0,5.557965845770453,142.4,24.0,False,True,False,0
2584,3726,200,2.3352833099747237,2.0,18.0,1.0910948108635097,2.0,1.198866348797269,6.0,3.53514187765765,95.9,1161.0,False,False,False,0
2585,1703,200,1.0,34.0,79.0,1.0,-10.019107302069443,1.065986252037291,154.0,2.613999785904895,126.6,19.0,False,True,False,0
2586,1746,200,2.0,2.0,317.0,2.0,21.0,1.0035824946383947,196.0,2.721660465782813,137.0,16.0,False,True,False,0
2587,2530,200,1.0,1.0,22.0,1.0291828875335822,51.0,1.0904219588527075,29.0,1.8606349007118679,110.8,1162.0,False,False,False,0
2588,1359,200,2.0,13.0,288.0,3.0,7.0,2.0,120.0,3.6714922080723715,132.1,149.0,False,True,False,0
2589,5809,375,3.0953897747803705,10.31156463508163,11.0,1.5750756552551737,236.0,0.6512358202718258,14.0,-5.532032621935148,96.2,1300.0,False,False,False,0
2590,2808,200,3.0,6.0,43.0,1.0,2.0,1.0,8.0,3.0742114535785325,102.4,1289.0,False,False,False,0
2591,1387,200,2.4637569762148956,7.819351975962508,96.0,1.1489987257080703,-5.0407355848541755,0.7745651829383431,163.0,2.981288580149439,133.6,69.0,False,True,False,0
2592,7619,200,5.0,1.0,486.0,5.0,-6.027694318402851,2.011619717476773,1876.0,2.0,136.5,18.0,False,True,False,0
2593,11492,352,2.0414150187679816,3.0319183227124924,7.0,0.597745380154107,43.0,0.8228333074227221,9.0,1.8217724127472106,93.9,1098.0,False,False,False,0
2594,2223,200,4.0,4.0,198.0,5.0,-3.4953139890896665,2.413677515290393,4875.0,5.877042569207434,153.4,21.0,False,True,False,0
2595,1319,200,3.0,2.0,32.0,0.07824541948824404,37.0,1.043412023436753,35.0,1.9709411945102575,87.5,957.0,False,False,False,0
2596,4854,200,2.9665573536230294,2.0,11.0,0.26268382350869146,74.08930337962359,0.8514136281064177,7.0,0.6463921142945801,93.2,1020.0,False,False,False,0
2597,3436,1128,2.0,2.0,26.0,0.511062929983483,41.0,0.9307176620005913,11.0,1.7186056534188743,106.9,1037.0,False,False,False,0
2598,1340,200,2.0,68.0,97.0,2.0,-6.993693477106888,3.0,98.0,3.2747115336421357,133.2,52.0,False,True,False,0
2599,3582,911,3.0,2.0,24.0,0.22818728842980285,135.0,0.6815161233174494,11.0,-1.5317588350261762,128.6,1027.0,False,False,False,0
2600,3062,200,3.4359312832332325,140.77100299215627,18.0,4.55206456876027,246.0,-1.4787052839248904,21.0,-8.825586817254162,83.1,1480.0,False,False,True,0
2601,4001,200,10.0,2.0,250.0,3.0,6.479825838755396,2.0,493.0,2.0,170.6,52.0,False,True,False,1
2602,2969,200,2.0,1.0,154.0,3.0,-7.841422927355993,0.8540540433776043,333.0,4.097790237740727,130.1,34.0,False,True,False,0
2603,1206,406,2.8892079738591985,6.0,7.0,0.04084512591333489,0.038100969046212185,-0.3474633835587775,34.0,1.841762360877084,57.8,429.0,True,False,False,0
2604,2087,1250,3.0,5.0,14.0,0.6052544487613654,0.44104764025398424,-0.4154350083484596,13.0,1.5324842303335873,53.8,499.0,True,False,False,0
2605,1403,603,1.3011785190705254,2.0,70.0,0.46250183972592485,1.0,0.5344136697587494,53.0,3.0769514537028497,181.1,13.0,False,True,False,0
2606,2932,550,1.0,6.0,92.0,1.0,7.556323191735764,0.6569384420831443,261.0,3.1084462847196397,182.5,7.0,False,True,False,0
2607,2077,550,3.4784157367301685,2.0,6.0,-0.3921119744147967,-5.346661520881421,-0.293599359732835,759.0,2.3601743060124516,66.7,276.0,True,False,False,0
2608,1000,200,1.0,1.0,4.0,-1.2546694413442667,-16.20320655019451,-0.5325885782869724,25.0,2.216204924397096,43.0,199.0,True,False,False,0
2609,1732,200,3.502739737802571,1.0,17.0,0.4936654626525696,34.0,1.068390224853518,13.0,2.205192093003924,93.5,1056.0,False,False,False,0
2610,1364,564,2.0,16.0,84.0,2.0,1.0,1.0,63.0,3.112177279916618,141.9,20.0,False,True,False,0
2611,2243,200,1.0,18.0,63.0,0.9128649268784148,-11.515281856423037,1.0,76.0,3.0056773195673645,123.6,11.0,False,True,False,0
2612,4070,200,1.0,5.0,16.0,1.2141246418147364,16.0,1.2914419558335646,290.0,3.2920695451926143,114.8,1172.0,False,False,False,0
2613,1715,200,32.0,37.0,78.0,1.0,226.0,1.3644334836673575,43.0,-5.208622625961144,115.3,1252.0,False,False,False,0
2614,1996,200,7.0,8.0,827.0,5.0,6.0,1.0,483.0,0.824016437468285,58.8,1157.0,False,True,False,0
2615,1357,557,3.1457912473941843,56.0,12.0,3.0712062643973264,38.0,-2.276193767927182,8.0,0.045788435496521895,72.3,1157.0,False,False,True,0
2616,1154,354,1.0,1.0,82.0,1.0,0.17068360389922788,1.0,1734.0,3.315796423703379,157.6,45.0,False,True,False,0
2617,1721,379,1.543597153588756,2.0,26.0,0.3259637893827909,-5.343778869970514,0.46095200138286585,39.0,2.75665074577221,140.6,25.0,False,True,False,0
2618,3811,200,1.0,2.0,13.0,0.32866382710733877,156.0,0.6864705118216817,7.0,-2.191352255550977,118.4,1078.0,False,False,False,1
2619,1441,200,1.7947825906135755,8.0,6.0,1.29646540432641,7.525027242526065,-0.18875697372319133,5.0,1.6029816182922376,44.2,656.0,True,False,False,0
