,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x1_type2,x1_type3,x1_type4,target
8471,1647,550,1.0743532925743988,0.07246708225406095,7.0,19.0,322.0,0.0009945931086896564,5.0,1.0,2.0,1683.0,1.0,0.00229923484805461,157.7,24.0,False,True,False,0
8472,2093,1293,0.9290529540012872,0.058848800118564526,1.0,2.0,10.0,0.004122563672279478,0.009218252266066429,217.0,-0.007250293557831355,16.0,0.21324881367735316,-0.014074608161294577,113.6,1217.0,False,False,False,0
8473,3095,200,1.070317156706589,0.15123025512514587,0.02028101134624194,51.0,4.0,-5.576918910477069e-05,0.004097915279146491,0.4336965342008625,0.025726694514929704,6.0,-0.006075450737569099,0.0005207971841993952,45.0,570.0,True,False,False,0
8474,1797,200,1.158556370882584,0.19104455302576895,1.0,28.0,26.0,-0.0013258598918846065,0.0008584154688833223,8.954990550329057,-0.16960703135015365,22.0,-0.03397722198252495,0.013446572565460002,94.2,954.0,False,False,False,0
8475,1366,200,1.1268224144323455,0.07794433841516124,0.07778144281815003,4.771119324184838,54.0,0.0006831946444747494,1.0,-1.9436902760035082,0.07033088174247837,199.0,0.07206463258512485,0.008342128207431188,126.4,17.0,False,True,False,0
8476,1987,300,1.123241261473488,0.07182064373304442,1.0,1.7770110873498197,115.0,0.0007130503934309473,2.0,-1.0147975497848165,0.07912830995687159,1120.0,0.14460198239629563,0.007361666137050804,138.4,12.0,False,True,False,0
8477,1572,200,1.06795525249979,0.16847470598751713,2.0,326.0,175.0,-0.0012492823716667711,3.0,0.7805200967595738,0.2785204126515737,49.0,0.08314492468872459,-0.0008337573070846815,44.2,621.0,True,False,False,0
8478,1679,200,1.0627719671333584,0.1614450468037063,1.0,320.0,136.0,-0.0013225489391017753,1.0,0.6088877660740764,0.2718040011448295,31.0,0.037340857715548736,-9.425379668570599e-05,43.1,553.0,True,False,False,0
8479,3455,200,1.166393978766866,0.19304266229620737,2.0,3.0,18.0,-0.0009502064601512039,0.0020963959669302312,10.967239685072855,-0.213943927492096,7.0,-0.028927696996618124,0.010734971291565643,105.6,1074.0,False,False,False,0
8480,1336,364,1.0964427388202502,0.06172758089480368,3.0,3.0,101.0,0.0010681615964964752,3.0,1.0,1.0,596.0,0.1354609715160109,0.006669059731340354,155.1,24.0,False,True,False,0
8481,7342,200,1.1328179347489589,0.18257821264193552,1.0,54.0,258.0,0.002222277807881534,2.0,10.0,0.342931133373753,294.0,0.020088052806954693,-0.00950814777193898,107.5,1159.0,False,True,False,0
8482,1665,200,0.9107841371565363,1.0,2.0,35.0,77.0,0.00939280774628326,1.0,1.0,1.0,125.0,1.0,1.0,187.3,20.0,False,True,False,0
8483,2403,200,1.1331508212486672,0.0715608276932933,0.08312928143527643,2.742168362137818,71.0,0.0008082830915230321,0.008549666105892584,-0.12958637448900845,0.0690828235075287,949.0,0.09113895184464127,0.007172821304799015,138.0,23.0,False,True,False,0
8484,4697,200,1.1575841366454362,0.06428081649571737,1.0,4.0,50.0,0.0010507187474098068,1.0,1.0,1.0,42.0,1.0,0.00493009356536156,145.1,6.0,False,True,False,0
8485,1707,200,1.1230284445508618,0.08391159255502956,1.0,1.0,171.0,0.000855818937566033,1.0,0.07668981315237033,0.07149360958857187,739.0,0.10882115453551933,0.006928547128216778,138.6,62.0,False,True,False,1
8486,4108,200,1.0878578752324235,0.15591911581678275,-0.11399380985699281,227.0,32.0,-0.000820951170093176,1.0,1.0,0.20441988342255968,30.0,0.023050105205186355,-0.0015073474708984236,44.3,638.0,True,False,False,0
8487,1430,630,1.0441604500791815,0.06921380727562365,0.06249380714325525,4.715840053235297,52.0,0.0006936512854927024,0.0038967987806302062,-0.6238778022434417,0.051423740813959284,59.0,0.06083603028019979,0.005417947795072209,139.3,25.0,False,True,False,0
8488,1536,200,1.126061638439736,0.07877124823565751,23.0,84.0,1177.0,0.00239692021225113,19.0,3.0,8.0,1934.0,7.0,-0.0017872133452012662,305.2,116.0,False,True,False,0
8489,7389,200,1.1946573838902712,0.06484211971107356,0.05343326757702016,1.0,42.0,0.0010332070251783954,1.0,-1.296506609482094,0.05423628349493015,286.0,0.08202294031781321,0.006559837755096609,135.1,8.0,False,True,False,0
8490,1541,200,1.0553355680723786,0.1527427860509647,-0.037787886538581006,141.0,18.0,-0.0005797824033733079,0.0043589257038831875,0.413095814917142,0.10597502994838237,6.0,0.0009082878170829645,0.0006485651455925279,44.5,555.0,True,False,False,0
8491,8357,200,1.2585975364867898,0.13044496886746515,5.0,1.0,459.0,-4.303507568392817e-05,5.0,-1.429741614742852,0.19867504313350537,224.0,13.0,0.005242405444043641,147.9,36.0,False,True,False,0
8492,1186,386,0.9944567001667326,0.10411122376587656,0.22831224168544395,2.0,22.0,0.0026308037736950673,0.01997460470988699,134.0,-0.1499410985238967,29.0,-0.17364698703795511,-0.0032420052282358114,75.2,1245.0,False,False,True,0
8493,1368,200,1.0530387346398062,0.1385647319609653,1.0,9.0,5.0,-3.7167536961923986e-05,-0.0006137277612197067,-0.2150814145898039,-0.009144610746801618,35.0,0.010819628075523724,0.002454089722006003,55.8,448.0,True,False,False,0
8494,1670,200,1.1073796843011192,0.09593185058930942,1.0,5.0,23.0,0.003959424193090699,1.0,191.0,1.0,13.0,0.16301166585998317,-0.007635398763582657,108.2,1333.0,False,False,False,0
8495,2012,200,1.1415840336249496,0.09778743617499686,1.0,11.0,160.0,0.0004527555389961524,1.0,-1.0479367602656566,0.10900896310994312,169.0,4.0,0.006275493042256386,133.5,58.0,False,True,False,0
8496,1704,200,1.1180642376291625,0.08644575135141963,1.0,5.431788651780153,60.0,0.0006751863859240093,0.008653685437963077,-0.5494837296882906,0.06376754584096034,115.0,0.04083184590410838,0.006830533016996654,125.1,102.0,False,True,False,0
8497,2542,200,1.1117673911782395,0.17282828047127197,2.0,9.0,16.0,0.00199031742137179,0.017282398009342614,99.0,0.22315978405114834,8.0,0.03138765834222568,-0.004353425221882645,112.7,1597.0,False,False,False,1
8498,1718,315,1.1318265590289418,0.2017823449382128,1.0,2.0,35.0,-0.0011014860548477223,0.005167944527869395,1.0,0.1314639447564332,15.0,-0.07561266951222478,0.012551548794002443,89.4,1068.0,False,False,False,0
8499,2767,200,1.070807743354321,0.14382238266630765,0.06860205937005048,3.0,11.0,9.17755689899824e-05,0.0017342290144028993,1.0,-0.02965394733163862,12.0,-0.0011636188125407898,0.002267743402997624,44.7,469.0,True,False,False,0
8500,3800,3000,1.0715999419376097,0.20219729383678953,4.0,189.0,927.0,0.001718124671650667,76.0,6.0,1.0,2012.0,2.0639000872793076,-0.011378972296498091,58.0,1395.0,False,True,False,0
