unknown1,unknown2,unknown3,unknown4,unknown5,unknown6,unknown7,unknown8,unknown9,unknown10,unknown11,unknown12,unknown13,unknown14,unknown15,unknown16,unknown17,target
type1,1399,200,0,0,0,0,12,0,0,43,0,27,0,0,92,997,0
type3,9109,636,0,0,2,0,183,0,1,0,0,254,0,0,140.7,4,1
type3,2400,401,0,0,8,5,222,0,6,1,0,377,0,2,134.2,28,0
type3,4942,200,0,0,1,16,259,0,4,3,0,314,0,0,107.9,1443,0
type3,4560,200,0,0,4,0,140,0,2,0,1,100,2,0,128.6,6,0
type3,2277,200,0,0,6,0,368,2.3,4,0,0,886,7,0,124.2,12,0
type3,5204,200,0,0,1,0,94,0,1,0,0,312,1,0,124.8,22,0
type3,1700,557,0,0,0,34,24,0,1,1,2,33,0,1,145.1,24,0
type1,1959,200,0,0,2,15,52,0,1,205,0,7,0,0,131,1351,0
type3,1191,391,0,0,1,8,61,0,1,0,0,22,0,0,137.7,25,0
type3,1338,200,0,0,1,0,64,0,1,4,0,137,0,0,131.3,29,0
type3,3514,550,0,0,0,0,45,0,0,16,0,209,0,0,126.6,118,0
type4,4278,613,0,0,0,3,19,0,0,42,0,12,0,0,60,1217,0
type4,1000,200,0,0,0,67,13,0,0,99,0,18,0,0,78.3,1077,0
type3,7706,200,0,0,2,1,223,0,5,1,0,3597,0,0,151.5,41,0
type3,1355,200,0,0,2,15,71,0,1,2,1,160,0,0,138.6,26,0
type2,6083,200,0,0,0,23,70,0,0,0,0,49,0,0,45.7,307,0
type2,2527,502,0,0,0,163,1,0,0,1,0,12,0,0,44.6,689,0
type3,1373,200,0,0,3,0,150,0,3,0,0,3825,0,0,138.5,13,0
type3,2512,200,0,0,3,105,162,0,3,0,1,40,0,0,134.3,65,0
type1,10536,200,0,0,2,1,20,0,1,1,0,16,0,0,113.4,1098,0
type1,3254,200,0,0,0,0,11,0,0,0,0,9,0,0,92.6,1184,0
type4,63454,900,0,0,0,10,24,0,8,7,0,10,0,0,64.7,1628,0
type4,2977,571,0,0,0,8,131,0,1,0,0,41,0,0,37.8,52,0
type3,1140,200,0,0,1,14,151,0.1,1,0,0,65,0,0,134.7,83,0
type3,1555,200,0,0,6,9,528,0,7,13,1,275,0,0,74.3,1383,1
type3,3377,200,0,0,1,1,35,0,0,0,0,31,0,0,151.4,183,0
type2,1634,200,0,0,0,0,4,0,0,0,0,11,0,0,63.5,338,0
type1,2740,200,0,0,0,8,12,0,1,37,0,15,0,0,126,1076,0
type3,1364,200,0,0,6,11,1008,0,11,15,1,699,0,0,70.6,1319,0
type3,4455,200,0,0,1,0,41,0,0,1,0,81,0,0,136.7,39,0
type3,1120,320,0,0,0,22,152,0,11,4,0,75,0,0,58.5,1215,0
type3,1816,1016,0,0,0,4,56,0,0,0,0,67,0,0,166,14,0
type3,1683,316,0,0,0,0,262,0,3,0,2,1099,3,0,117.5,5,0
type1,3875,200,0,0,2,8,22,0,0,43,0,19,0,0,101.4,1077,0
type1,1709,550,1,0,1,1,23,0,1,102,0,12,0,0,111,900,1
type1,1528,418,0,0,0,4,22,0,0,0,0,5,0,0,100.6,1074,0
type1,2095,200,0,0,1,2,12,0,0,254,0,15,0,0,119.2,1399,0
type3,1393,593,0,0,6,26,524,0.1,4,1,1,525,0,0,370,28,0
type4,5960,200,0,0,0,5,22,0,2,2,0,13,0,0,69.7,1200,0
type3,1357,375,0,0,3,6,221,0,5,11,1,207,0,0,71.1,1401,0
type2,1535,200,0,0,1,5,11,0,0,3,0,10,0,0,54.8,523,0
type4,5612,200,0,0,0,2,18,0,0,164,0,13,0,0,82.3,1433,0
type1,2249,395,0,0,0,0,17,0,0,38,1,5,0,0,90.8,945,0
type3,1714,200,0,0,0,0,32,0,0,0,0,68,0,0,140.5,27,0
type3,4251,200,0,0,1,16,125,0,2,0,1,196,0,0,129.6,23,1
type3,1578,200,0,0,1,0,202,0,3,0,0,436,0,0,136,18,0
type1,1408,200,0,0,1,1,11,0,0,2,0,16,0,0,94.3,1069,0
type3,2397,200,0,0,0,0,27,0,0,0,0,35,0,0,156.5,17,0
type1,1350,384,0,0,2,9,18,0,2,38,1,18,0,0,108.6,1186,0
type3,1390,200,0,0,9,22,407,0,8,3,2,1048,1,0,152.1,42,0
type3,4614,622,0,0,18,5,2011,0.4,19,5,11,2025,46,2,152.3,93,1
type1,1423,200,0,0,0,3,9,0,0,202,0,15,0,0,104.2,1154,0
type4,4490,200,0,0,0,472,28,0,0,134,0,14,0,0,70,1033,0
type1,1341,550,1,0,2,2,80,0,1,1,1,6,0,0,92.1,1284,0
type3,6255,200,0,1,1,20,107,0,2,0,2,1548,0,0,128.7,35,1
type4,2088,200,0,0,0,298,22,0,2,168,0,7,0,0,82.2,1388,0
type3,9458,200,0,0,7,145,1961,0,71,13,7,3110,0,1,70.8,1292,1
type1,1357,550,1,0,2,3,23,0,1,234,0,15,0,0,123.3,1300,0
type3,1788,200,0,0,0,4,34,0,0,1,0,42,0,0,111.2,1350,0
type2,3676,200,0,0,0,4,4,0,0,0,0,17,0,0,44.4,705,0
type4,1156,356,0,0,0,402,18,0,0,48,0,9,0,0,72.6,1104,0
type3,78418,200,0,0,0,1,17,0,0,0,0,16,0,0,134,35,0
type3,2429,550,0,0,2,1,192,0,3,1,0,168,1,0,37.1,769,0
type2,2192,200,0,0,0,0,4,0,0,0,0,5,0,0,70.5,282,0
type4,2341,1600,0,0,0,66,16,0,1,18,0,11,0,0,63.6,1142,0
type2,1998,200,0,0,0,185,57,0,1,0,0,20,0,0,46.1,682,0
type4,2012,200,0,0,0,426,32,0,0,130,0,12,0,0,74.6,884,0
type2,6992,550,0,0,0,1,4,0,0,0,0,9,0,0,67.7,399,0
type1,1686,886,0,0,6,10,130,0,2,68,1,119,0,0,121.3,1596,0
type2,2068,550,0,0,0,114,2,0,0,1,0,21,0,0,48,781,0
type3,3470,424,0,0,0,14,68,0,0,1,0,102,0,0,111.3,1237,0
type2,1697,200,0,0,2,6,27,0,0,0,0,11,0,0,43,334,0
type2,4535,200,0,0,4,7,18,0,0,0,0,73,0,0,61.6,349,0
type3,3361,200,0,1,13,26,1746,0,16,18,4,1310,0,1,54.3,1282,0
type3,1000,375,0,1,4,7,585,0,5,18,2,798,0,1,131.2,138,1
type3,4871,323,0,0,7,4,1213,0.1,8,0,2,1178,4,0,135.5,22,0
type3,1350,200,0,0,2,0,64,0,1,10,0,210,0,0,133.9,70,0
type1,1000,200,0,0,15,19,114,0,2,94,1,16,0,0,136.9,1353,1
type3,1337,375,0,0,6,13,827,0,9,12,1,2460,0,0,55.7,1243,0
type1,1690,200,0,0,3,3,18,0,0,235,0,20,0,0,104,1329,0
type3,4274,200,0,0,6,14,394,0,9,12,0,190,0,0,70.8,1529,0
type4,1401,456,0,0,0,526,24,0,0,77,0,13,0,0,78.7,953,0
type1,1192,392,0,0,0,1,15,0,0,0,0,9,0,0,92.8,1111,0
type3,5221,200,0,0,3,31,126,0,2,1,2,159,0,0,137.4,65,0
type3,5885,200,0,0,14,133,373,0,14,1,2,1443,1,1,129.3,80,0
type3,1147,347,0,0,7,10,333,0,7,1,2,2850,1,0,150.9,25,0
type1,1524,200,0,0,3,40,24,0,1,31,0,2,0,0,95.7,1384,0
type3,3078,200,0,0,3,0,180,0,3,0,0,594,0,0,167.4,28,0
type1,5926,200,0,0,2,17,37,0,2,43,0,5,0,0,113,1264,0
type3,1415,615,0,0,6,10,489,0,9,12,1,339,0,0,71.3,1433,0
type3,3226,717,0,0,0,0,101,0,0,0,0,109,0,0,125.3,13,0
type1,1338,200,0,0,0,2,17,0,0,0,0,5,0,0,102.4,1220,0
type3,2364,200,0,0,0,0,86,0,0,0,0,261,0,0,126.3,26,0
type3,6751,200,0,0,7,147,1994,0,72,13,7,4194,0,1,70.9,1328,1
type4,1316,516,0,0,0,478,22,0,2,100,0,13,0,0,72.9,1077,0
type3,4579,200,0,0,0,0,65,0,0,0,0,197,0,0,144,21,0
type3,2824,200,0,0,1,14,179,0.1,2,0,0,42,2,0,185.1,38,0
type3,1998,303,0,0,2,17,132,0,2,0,1,312,0,0,133.2,26,0
type1,1749,536,0,0,0,3,19,0,0,0,0,6,0,0,92.5,1052,0
type3,2871,200,0,1,1,13,105,0,1,1,0,18,0,0,148.4,46,1
type1,1461,200,0,0,4,31,74,0,2,3,1,35,0,0,111,1296,0
type1,4467,530,0,0,2,5,12,0,0,0,2,26,0,0,96.8,1087,0
type2,2794,200,0,0,0,121,8,0,0,0,0,18,0,0,41.5,600,0
type2,2085,200,0,0,1,4,11,0,0,0,0,71,1,0,45.8,623,0
type3,5043,200,0,0,0,0,62,0,0,0,0,152,0,0,138.6,8,0
type3,1537,364,0,0,5,15,253,0,2,0,1,472,0,0,144.9,27,0
